"# of Other Labels","# de Otras Etiquetas"
"# of Products","# de Productos"
Activate,Activar
Active,Activo
"Applied Products","Productos Aplicados"
"Are you sure you want to delete this product label?","¿Estás seguro de que quieres eliminar esta etiqueta de producto?"
"Assigned products","Productos asignados"
"Available products","Productos disponibles"
"Back to Product Labels","Volver a las Etiquetas de Producto"
Behavior,Comportamiento
Categories,Categorías
"Create a Product Label","Crear una Etiqueta de Producto"
"Create Product Label","Crear Etiqueta de Producto"
"De-select all","Deseleccionar todo"
Deactivated,Desactivado
"Delete Product Label","Eliminar Etiqueta de Producto"
Delete,Eliminar
"Edit Product Label","Editar Etiqueta de Producto"
Edit,Editar
"Front-end Reference","Referencia de Front-end"
General,General
ID,ID
"Is Active","Está Activo"
"Is Dynamic","Es Dinámico"
"Is Exclusive","Es Exclusivo"
"List of Product Labels","Lista de Etiquetas de Producto"
"Missing or wrong request data","Datos de solicitud faltantes o incorrectos"
N/A,N/A
Name,Nombre
"No, I want to keep this product label","No, quiero mantener esta etiqueta de producto"
No,No
"Overview of Product Labels","Resumen de Etiquetas de Producto"
"Prioritize Product Labels","Priorizar Etiquetas de Producto"
Priority,Prioridad
"Product label #%d successfully updated.","La etiqueta de producto #%d se actualizó correctamente."
"Product label #%d was successfully deleted.","La etiqueta de producto #%d se eliminó correctamente."
"Product label priority updated successfully.","La prioridad de la etiqueta de producto se actualizó correctamente."
"Product label removal confirmation","Confirmación de eliminación de etiqueta de producto"
"Product Labels","Etiquetas de Producto"
"Products Applied to","Productos Aplicados a"
"Products for this label are assigned dynamically, you can't manage relations manually.","Los productos de esta etiqueta se asignan dinámicamente, no se pueden gestionar las relaciones manualmente."
"Products to which this label applies","Productos a los que se aplica esta etiqueta"
Save,Guardar
"Select all","Seleccionar todo"
"Selected products to assign","Productos seleccionados para asignar"
"Selected products to de-assign","Productos seleccionados para desasignar"
Settings,Configuración
Status,Estado
"Store relation","Relación de tienda"
Stores,Tiendas
Translations,Traducciones
"This product has already assigned to the given label","Este producto ya ha sido asignado a la etiqueta proporcionada"
"This product has not been assigned to the given label","Este producto no ha sido asignado a la etiqueta proporcionada"
"Valid from","Válido desde"
"Valid to","Válido hasta"
Validity,Validez
"View Product Label","Ver etiqueta de producto"
View,Ver
"Yes, delete this product label","Sí, eliminar esta etiqueta de producto"
Yes,Sí
"Product label #%d successfully created.","Etiqueta de producto #%d creada exitosamente."
"Number of Products","# de productos"
