"<- Prev Step","<- Prev Step"
"Add Item","Añadir artículo"
"Add Voucher","Añadir cupón"
"Added Items","Artículos añadidos"
"Billing address","Dirección de facturación"
"Billing same as shipping","Facturar igual que envío"
"Create Customer","Crear cliente"
"Create Order","Crear pedido"
"Customer is registered successfully.","El cliente se ha registrado correctamente."
Discounts,Descuentos
"Dummy payment invoice","Factura de pago ficticia"
"Grand Total","Total general"
"Invalid data provided.","Datos proporcionados no válidos."
"Manual Order Entry","Entrada manual de pedido"
Name,Nombre
"Next Step ->","Siguiente paso ->"
"Order is created successfully.","El pedido se ha creado correctamente."
"Order Source","Origen del pedido"
Payment,Pago
"Price to pay","Precio a pagar"
Quantity,Cantidad
Redeem,Canjear
Sales,Ventas
Save,Guardar
"Select Customer","Seleccionar cliente"
"Select Products","Seleccionar productos"
"Selecting a shipment method","Seleccionando un método de envío"
Shipping,Envío
"Shipping address","Dirección de envío"
Sku,SKU
"Sub Total",Subtotal
Submit,Enviar
"Submit order","Enviar pedido"
"Submit Order","Enviar pedido"
"Sum Gross Price","Suma del precio bruto"
Tax,Impuesto
"Unit Gross Price","Precio bruto unitario"
Vouchers,Cupones
