"Architecture Sniffers","Architecture Sniffers"
Catalog,Catalogue
"Collector: Drop Search Timestamps","Collector: Drop Search Timestamps"
"Collector: Drop Storage Timestamps","Collector: Drop Storage Timestamps"
Content,Contenu
"Global Threshold","Seuil global"
Marketplace,"Place de marché"
"Merchant Relationships Threshold","Seuil des relations marchandes"
"MIME Type Settings","Paramètres du type MIME"
"Module Overview","Aperçu du module"
"Sync Permissions","Synchroniser les autorisations"
"User Groups","Groupes d'utilisateurs"
"User Roles","Rôles des utilisateurs"
Users,Utilisateurs
