"About Your Store","Informazioni sul tuo negozio"
"Addition to address","Aggiunta all'indirizzo"
"Average Delivery Time","Tempo medio di consegna"
"Banner URL","URL del banner"
"Business Info","Informazioni aziendali"
"Cancellation Policy","Politica di cancellazione"
City,Città
Company,Azienda
"Company Name","Nome azienda"
"Contact Details & Address","Dettagli di contatto e indirizzo"
"Contact Person","Dettagli della persona di contatto"
Country,Paese
"Data Privacy","Privacy dei dati"
Description,Descrizione
Dr,Dr
Email,Email
"Fax number","Numero di fax"
"First Name",Nome
Imprint,Impronta
"Is Active","È attivo"
"Last Name",Cognome
Latitude,Latitudine
"Logo URL","URL del logo"
Longitude,Longitudine
"Merchant Reference","Riferimento del commerciante"
Mr,Signor
Mrs,Signora
Ms,Signorina
Number,Numero
"Online Profile","Profilo online"
"Store Status","Stato del negozio"
"Phone Number","Numero di telefono"
Profile,Profilo
profile.status.message.online,"Questo significa che il tuo negozio è disponibile online e le persone possono vederlo."
profile.status.message.offline,"Questo significa che il tuo negozio è disponibile online e le persone possono vederlo."
"Provide a logo URL","Fornisci un URL del logo"
"Provide a banner URL","Fornisci un URL del banner"
"Provide Average Delivery Time","Fornisci il tempo medio di consegna"
"Provide Data Privacy","Fornisci la privacy dei dati"
"Provide Imprint","Fornisci l'impronta"
"Provide Cancellation Policy","Fornisci la politica di cancellazione"
"Provide Terms & Conditions","Fornisci i Termini e Condizioni"
"Provide the URL of your Store","Fornisci l'URL del tuo Negozio"
"Registration number","Numero di registrazione"
Role,Ruolo
Save,Salva
select.default.placeholder,Seleziona
"Store Profile URL","URL del profilo del Negozio"
store.state.online,"Il tuo Negozio è online"
store.state.offline,"Il tuo Negozio è online"
Street,Via
"Tell us about your store","Parlaci del tuo negozio"
"Terms & Conditions","Termini e Condizioni"
"The Profile has been changed successfully.","Il profilo è stato modificato con successo."
Title,Titolo
"Your Store is online","Il tuo Negozio è online"
"Visual assets","Risorse visive"
"Zip Code","Codice postale"
Stores,Negozi
