"Add Customer Group","Adicionar Grupo de Clientes"
"Assigned customers","Clientes Atribuídos"
"Available customers","Clientes Disponíveis"
"Back to Customer Groups","Voltar para Grupos de Clientes"
"Customer Groups","Grupos de Clientes"
"Customer group was created successfully.","Grupo de clientes criado com sucesso."
"Customer group was updated successfully.","Grupo de clientes atualizado com sucesso."
"De-select all","Desmarcar todos"
"Delete Customer Group","Excluir Grupo de Clientes"
Description,Descrição
"Edit Customer Group","Editar Grupo de Clientes"
"List Customer Groups","Lista de grupos de clientes"
Save,Salvar
"Select all","Selecionar todos"
"Selected customers to assign","Clientes selecionados para atribuir"
"Selected customers to de-assign","Clientes selecionados para desatribuir"
"View Customer Group","Visualizar Grupo de Clientes"
"Customer groups","Grupos de Clientes"
"Add a customer group","Adicionar um grupo de clientes"
Select,Selecionar
