Actions,Ações
Active,Ativo
Approved,Aprovado
approved_offer_button,Aprovar
"Offer Approve",Aprovar
Deny,Negar
"Back to Offers","Voltar para Ofertas"
denied_offer_button,Negar
Denied,Negado
Description,Descrição
Inactive,Inativo
"List of Offers","Lista de Ofertas"
Name,Nome
Offer,Oferta
"Offer ID","ID da Oferta"
Offers,Ofertas
Product,Produto
Reference,Referência
SKU,SKU
Status,Status
Stores,Lojas
"The approval status was updated","O status de aprovação foi atualizado"
Type,Tipo
"View Offer","Ver Oferta"
Visibility,Visibilidade
"Volume Prices","Preços por Volume"
Approval,Aprovação
"Approval Status","Status de Aprovação"
"Waiting for Approval","Aguardando Aprovação"
