"Add Company","Bedrijf toevoegen"
Approved,Goedgekeurd
"Back to Companies","Terug naar bedrijven"
Company,Bedrijf
Companies,Bedrijven
"Company has been activated.","Bedrijf is geactiveerd."
"Company has been approved.","Bedrijf is goedgekeurd."
"Company has been created.","Bedrijf is aangemaakt."
"Company has been deactivated.","Bedrijf is gedeactiveerd."
"Company has been denied.","Bedrijf is geweigerd."
"Company has been updated.","Bedrijf is bijgewerkt."
"Company has not been created.","Bedrijf is niet aangemaakt."
"Company has not been updated.","Bedrijf is niet bijgewerkt."
"Company Id",Bedrijfs-ID
"Create Company","Bedrijf aanmaken"
Denied,Geweigerd
Deny,Weigeren
"Edit Company","Bedrijf bewerken"
"List of Companies","Lijst met bedrijven"
"Overview of Companies","Overzicht van bedrijven"
Save,Opslaan
Pending,"In behandeling"
"Company name",Bedrijfsnaam
"Select company","Selecteer bedrijf"
