"Add a Dataset","Aggiungi un Dataset"
"Add Dataset","Aggiungi Dataset"
"Back to Dataset list","Torna alla lista dei Dataset"
"Content file","File di contenuto"
Dataset,Dataset
"Dataset was activated successfully.","Il Dataset è stato attivato con successo."
"Dataset was deactivated successfully.","Il Dataset è stato disattivato con successo."
"Edit Dataset","Modifica Dataset"
Save,Salva
"Something wrong","Qualcosa è andato storto"
"No file selected.","Nessun file selezionato."
"Datasets list","Lista dei Dataset"
