"Custom CSS class","Classe CSS personnalisée"
"Date ""Valid from"" cannot be later than ""Valid to"".","La date ""Valide à partir de"" ne peut pas être postérieure à la date ""Valide jusqu'à""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","La date ""Valide jusqu'à"" ne peut pas être antérieure à la date ""Valide à partir de""."
"Edit Navigation Element: ","Modifier l'élément de navigation :"
"External URL","URL externe"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Si un nœud de navigation est inactif, cet élément et tous les éléments de navigation en dessous ne seront pas visibles."
"Incorrect request data.","Données de demande incorrectes."
"Links should start with ""/"".","Les liens doivent commencer par ""/""."
"List of navigation elements","Liste des éléments de navigation"
Navigation,Navigation
"Navigation element %d was activated successfully.","L'élément de navigation %d a été activé avec succès."
"Navigation element %d was created successfully.","L'élément de navigation %d a été créé avec succès."
"Navigation element %d was deactivated successfully.","L'élément de navigation %d a été désactivé avec succès."
"Navigation element %d was deleted successfully.","L'élément de navigation %d a été supprimé avec succès."
"Navigation element %d was not found.","L'élément de navigation %d est introuvable."
"Navigation element %d was updated successfully.","L'élément de navigation %d a été mis à jour avec succès."
"Navigation element details","Détails de l'élément de navigation"
"Navigation node ""%s"" was created successfully.","Le nœud de navigation ""%s"" a été créé avec succès."
"Navigation node ""%s"" was deleted successfully.","Le nœud de navigation ""%s"" a été supprimé avec succès."
"Navigation node ""%s"" was updated successfully.","Le nœud de navigation ""%s"" a été mis à jour avec succès."
"Navigation tree updated successfully.","Arborescence de navigation mise à jour avec succès."
"Navigation with id %s doesn't exist","La navigation avec l'identifiant %s n'existe pas."
"Navigation with the same key already exists.","Une navigation avec la même clé existe déjà."
"This value is not a valid category URL for the given locale.","Cette valeur n'est pas une URL de catégorie valide pour la locale donnée."
"This value is not a valid CMS page URL for the given locale.","Cette valeur n'est pas une URL de page CMS valide pour la locale donnée."
"Type 3 letters to search by category name.","Saisissez 3 lettres pour rechercher par nom de catégorie."
"Type 3 letters to search by CMS page name.","Saisissez 3 lettres pour rechercher par nom de page CMS."
"You can drag and drop to define item order.","Vous pouvez faire glisser et déposer pour définir l'ordre des éléments."
