"<- Prev Step","<- Prev Step"
"Add Item","Ajouter un article"
"Add Voucher","Ajouter un bon"
"Added Items","Articles ajoutés"
"Billing address","Adresse de facturation"
"Billing same as shipping","Même adresse de livraison"
"Create Customer","Créer un client"
"Create Order","Créer une commande"
"Customer is registered successfully.","Le client est enregistré avec succès."
Discounts,Remises
"Dummy payment invoice","Facture de paiement fictive"
"Grand Total","Total général"
"Invalid data provided.","Données invalides fournies."
"Manual Order Entry","Saisie manuelle de commande"
Name,Nom
"Next Step ->","Étape suivante ->"
"Order is created successfully.","La commande est créée avec succès."
"Order Source","Source de la commande"
Payment,Paiement
"Price to pay","Montant à payer"
Quantity,Quantité
Redeem,Utiliser
Sales,Ventes
Save,Enregistrer
"Select Customer","Sélectionner un client"
"Select Products","Sélectionner des produits"
"Selecting a shipment method","Sélection d'une méthode d'expédition"
Shipping,Expédition
"Shipping address","Adresse de livraison"
Sku,SKU
"Sub Total",Sous-total
Submit,Soumettre
"Submit order","Passer commande"
"Submit Order","Soumettre la commande"
"Sum Gross Price","Somme du prix brut"
Tax,Taxe
"Unit Gross Price","Prix unitaire brut"
Vouchers,Bons
