"Add Content Item","Adicionar Item de Conteúdo"
"Back to Content Items","Voltar para Itens de Conteúdo"
Cancel,Cancelar
"Content Item","Item de Conteúdo"
"Content Item ID","ID do Item de Conteúdo"
"Content Item Key","Chave do Item de Conteúdo"
"Content Items","Itens de Conteúdo"
"Content Type","Tipo de Conteúdo"
"Create Content Item","Criar Item de Conteúdo"
Default,Padrão
"Edit Content Item","Editar Item de Conteúdo"
"Edit Widget","Editar Widget"
Insert,Inserir
"Insert a Content Item","Inserir um Item de Conteúdo"
"Invalid data provided","Dados inválidos fornecidos"
"List of Content Items","Lista de Itens de Conteúdo"
Name,Nome
"Overview of Content Items","Visão geral dos Itens de Conteúdo"
"Overwrite default by specifying a different list per specific locale","Substituir padrão especificando diferentes elementos de conteúdo por localidade específica"
"Overwrite default by specifying different content elements per specific locale","Substituir padrão especificando diferentes elementos de conteúdo por localidade específica"
"Please select a content item","Por favor, selecione um item de conteúdo"
"Please select a template","Por favor, selecione um modelo"
Save,Salvar
"Select a content item","Selecionar um item de conteúdo"
"Select a template","Selecionar um modelo"
Updated,Atualizado
"Content item has been successfully created.","O item de conteúdo foi criado com sucesso."
"Content item has been successfully updated.","O item de conteúdo foi atualizado com sucesso."
"Stock successfully updated","Estoque atualizado com sucesso."
"Move Up","Mover para cima"
"Move Down","Mover para baixo"
