"# of Other Labels","# of Other Labels"
"# of Products","# of Products"
Activate,تفعيل
Active,نشط
"Applied Products","المنتجات المطبقة"
"Are you sure you want to delete this product label?","هل أنت متأكد أنك تريد حذف هذه العلامة التجارية للمنتج؟"
"Assigned products","المنتجات المعينة"
"Available products","المنتجات المتاحة"
"Back to Product Labels","العودة إلى علامات المنتج"
Behavior,السلوك
Categories,التصنيفات
"Create a Product Label","إنشاء تصنيف المنتج"
"Create Product Label","إنشاء تصنيف المنتج"
"De-select all","إلغاء تحديد الكل"
Deactivated,معطل
"Delete Product Label","حذف تصنيف المنتج"
Delete,حذف
"Edit Product Label","تعديل تصنيف المنتج"
Edit,تعديل
"Front-end Reference","مرجع الواجهة الأمامية"
General,عام
ID,معرف
"Is Active",نشط
"Is Dynamic",ديناميكي
"Is Exclusive",حصري
"List of Product Labels","قائمة بتصنيفات المنتج"
"Missing or wrong request data","بيانات الطلب المفقودة أو غير صحيحة"
N/A,"غير متوفر"
Name,الاسم
"No, I want to keep this product label","لا، أرغب في الاحتفاظ بهذا التصنيف للمنتج"
No,لا
"Overview of Product Labels","نظرة عامة على تصنيفات المنتجات"
"Prioritize Product Labels","تحديد أولوية تصنيفات المنتجات"
Priority,الأولوية
"Product label #%d successfully updated.","تم تحديث تصنيف المنتج #%d بنجاح."
"Product label #%d was successfully deleted.","تم حذف تصنيف المنتج #%d بنجاح."
"Product label priority updated successfully.","تم تحديث أولوية تصنيف المنتج بنجاح."
"Product label removal confirmation","تأكيد إزالة تصنيف المنتج"
"Product Labels","تصنيفات المنتجات"
"Products Applied to","المنتجات المطبقة عليها"
"Products for this label are assigned dynamically, you can't manage relations manually.","المنتجات المرتبطة بهذه العلامة يتم تعيينها بشكل ديناميكي، لا يمكنك إدارة العلاقات يدويًا."
"Products to which this label applies","المنتجات التي تنطبق عليها هذه العلامة"
Save,حفظ
"Select all","تحديد الكل"
"Selected products to assign","المنتجات المحددة للتعيين"
"Selected products to de-assign","المنتجات المحددة لإلغاء التعيين"
Settings,الإعدادات
Status,الحالة
"Store relation","علاقة المتجر"
Stores,المتاجر
Translations,الترجمات
"This product has already assigned to the given label","تم تعيين هذا المنتج بالفعل للتصنيف المعطى"
"This product has not been assigned to the given label","لم يتم تعيين هذا المنتج للتصنيف المعطى"
"Valid from","صالح من"
"Valid to","صالح حتى"
Validity,الصلاحية
"View Product Label","عرض تصنيف المنتج"
View,عرض
"Yes, delete this product label","نعم، احذف هذا تصنيف المنتج"
Yes,نعم
"Product label #%d successfully created.","تم إنشاء تسمية المنتج #%d بنجاح."
"Number of Products","# من المنتجات"
